
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.414164720e+00    0.421132084e+03    0.610811021e+02    0.333256693e+00
   0.416618832e+00    0.423992944e+03    0.620363932e+02    0.334600661e+00
   0.419072944e+00    0.426859051e+03    0.629975720e+02    0.336144649e+00
   0.421527056e+00    0.429730013e+03    0.639645442e+02    0.337370846e+00
   0.423981168e+00    0.432607898e+03    0.649372410e+02    0.338744997e+00
   0.426435280e+00    0.435488891e+03    0.659152696e+02    0.340059398e+00
   0.428889392e+00    0.438378355e+03    0.668994306e+02    0.341263421e+00
   0.431343504e+00    0.441271978e+03    0.678889961e+02    0.342609228e+00
   0.433797616e+00    0.444172186e+03    0.688842207e+02    0.343760799e+00
   0.436251728e+00    0.447077454e+03    0.698848879e+02    0.345051800e+00
   0.438705840e+00    0.449988808e+03    0.708909584e+02    0.346092847e+00
   0.441159952e+00    0.452905965e+03    0.719023801e+02    0.347372364e+00
   0.443614064e+00    0.455826565e+03    0.729187253e+02    0.348561255e+00
   0.446068176e+00    0.458754578e+03    0.739408044e+02    0.349571072e+00
   0.448522288e+00    0.461688499e+03    0.749680281e+02    0.350705915e+00
   0.450976400e+00    0.464627568e+03    0.760004400e+02    0.351783272e+00
   0.453430512e+00    0.467572929e+03    0.770379572e+02    0.352744696e+00
   0.455884624e+00    0.470524086e+03    0.780805733e+02    0.353866282e+00
   0.458338736e+00    0.473478864e+03    0.791278498e+02    0.354966047e+00
   0.460792848e+00    0.476439883e+03    0.801802677e+02    0.355854829e+00
   0.463246960e+00    0.479407709e+03    0.812377757e+02    0.356848966e+00
   0.465701072e+00    0.482380499e+03    0.823001801e+02    0.357847311e+00
   0.468155184e+00    0.485359375e+03    0.833673886e+02    0.358678806e+00
   0.470609296e+00    0.488344338e+03    0.844394002e+02    0.359618691e+00
   0.473063408e+00    0.491333651e+03    0.855159410e+02    0.360641215e+00
   0.475517520e+00    0.494327642e+03    0.865970433e+02    0.361480463e+00
   0.477971632e+00    0.497329179e+03    0.876831620e+02    0.362280262e+00
   0.480425744e+00    0.500335841e+03    0.887738249e+02    0.363185783e+00
   0.482879856e+00    0.503348317e+03    0.898691205e+02    0.364006266e+00
   0.485333968e+00    0.506365988e+03    0.909688549e+02    0.364822304e+00
   0.487788080e+00    0.509389606e+03    0.920731158e+02    0.365644658e+00
   0.490242192e+00    0.512418231e+03    0.931817971e+02    0.366435370e+00
   0.492696304e+00    0.515451646e+03    0.942944505e+02    0.367202860e+00
   0.495150416e+00    0.518491595e+03    0.954119061e+02    0.367941520e+00
   0.497604528e+00    0.521537224e+03    0.965336691e+02    0.368728690e+00
   0.500058640e+00    0.524588111e+03    0.976597032e+02    0.369380811e+00
   0.502512752e+00    0.527645525e+03    0.987899946e+02    0.370048253e+00
   0.504966864e+00    0.530707363e+03    0.999244521e+02    0.371036231e+00
   0.507420976e+00    0.533774257e+03    0.101063225e+03    0.371308825e+00
   0.509875088e+00    0.536847695e+03    0.102205060e+03    0.372184807e+00
